,Classifiers,Accuracy,Kappa,MAE,TP,TN,Precision,F-measure,AUC,Train,Testing,Accuracy_rank,Kappa_rank,MAE_rank,TP_rank,TN_rank,Precision_rank,F-measure_rank,AUC_rank,Train_rank,Testing_rank,vector_projections,Rank
0,Bayes_net,0.838,0.5944,0.1766,0.8504,0.7986,0.9301,0.8885,0.9163,0.6078,0.0203,6.0,3.0,3.0,12.0,2.0,2.0,8.0,1.0,10.0,7.0,17.036782307354954,3
1,Naïve_Bayes,0.8348,0.5019,0.173,0.9343,0.5211,0.8602,0.8957,0.8923,0.2422,0.0313,8.0,8.0,2.0,6.0,11.0,11.0,6.0,3.0,5.0,8.0,21.50658017470897,6
2,Incremental_Naïve_Bayes,0.8348,0.5019,0.173,0.9343,0.5211,0.8602,0.8957,0.8923,0.2547,0.0344,8.0,8.0,2.0,6.0,11.0,11.0,6.0,3.0,6.0,9.0,22.12895709294813,8
3,IB1,0.7936,0.4299,0.2064,0.8686,0.5571,0.8608,0.8647,0.7129,0.0328,98.4328,11.0,11.0,9.0,11.0,10.0,10.0,12.0,12.0,3.0,12.0,31.97068502732606,15
4,AdaBoost_M1,0.8356,0.5426,0.1617,0.8996,0.634,0.8857,0.8926,0.8788,117.2766,0.0703,7.0,7.0,1.0,9.0,4.0,6.0,7.0,6.0,17.0,10.0,23.323417845124307,9
5,HyperPipes,0.7641,0.0304,0.4993,1.0,0.0203,0.7629,0.8655,0.5305,0.0313,0.0078,12.0,13.0,14.0,1.0,13.0,13.0,11.0,14.0,2.0,3.0,30.44617590941699,13
6,VFI,0.7561,0.4598,0.4457,0.7302,0.8375,0.9341,0.8196,0.8715,0.0672,0.0344,14.0,10.0,13.0,13.0,1.0,1.0,14.0,7.0,4.0,9.0,27.221131878541307,12
7,Conjunctive_rule,0.7592,0.0,0.3656,1.0,0.0,0.7592,0.8631,0.5,3.0234,0.0078,13.0,14.0,12.0,1.0,14.0,14.0,13.0,15.0,12.0,3.0,35.14543597389958,17
8,Decision_table,0.8572,0.5671,0.207,0.9514,0.5603,0.8722,0.91,0.8995,9.9828,0.0156,3.0,5.0,10.0,3.0,9.0,9.0,3.0,2.0,14.0,6.0,20.19267334731517,4
9,OneR,0.8084,0.2839,0.1916,0.9985,0.2093,0.7992,0.8878,0.6039,0.2766,0.0078,10.0,12.0,5.0,2.0,12.0,12.0,9.0,13.0,7.0,3.0,26.922516690497265,11
10,PART,0.8503,0.5752,0.1828,0.9183,0.636,0.8884,0.9031,0.8656,105.7125,0.0984,4.0,4.0,4.0,8.0,3.0,5.0,4.0,9.0,16.0,11.0,21.418567277180195,5
11,ZeroR,0.7592,0.0,0.3656,1.0,0.0,0.7592,0.8631,0.5,0.0109,0.0094,13.0,14.0,12.0,1.0,14.0,14.0,13.0,15.0,1.0,4.0,32.033551382703756,16
12,Decision_stump,0.7592,0.0,0.2933,1.0,0.0,0.7592,0.8631,0.7592,0.3094,0.0047,13.0,14.0,11.0,1.0,14.0,14.0,13.0,10.0,8.0,1.0,31.37345465123797,14
13,C4.5,0.8622,0.6001,0.1926,0.9358,0.6299,0.8886,0.9116,0.8891,7.2891,0.0109,2.0,2.0,7.0,5.0,6.0,4.0,2.0,4.0,13.0,5.0,15.760595293187775,2
14,Grafted_C4.5,0.8625,0.6011,0.1922,0.9362,0.6303,0.8887,0.9118,0.889,11.4063,0.0109,1.0,1.0,6.0,4.0,5.0,3.0,1.0,5.0,15.0,5.0,14.478121643482824,1
15,Random_tree,0.8105,0.4804,0.1922,0.8765,0.6027,0.8743,0.8754,0.7431,0.5375,0.0063,9.0,9.0,6.0,10.0,7.0,8.0,10.0,11.0,9.0,2.0,25.646329676330087,10
16,REP_tree,0.8481,0.5582,0.2057,0.9278,0.5971,0.879,0.9027,0.8709,0.8375,0.0094,5.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,11.0,4.0,21.811481998290777,7
